construction_name,wall_reference,edge_type,description_x,description_y,unit,u_w_per_m_k,material_opaque_id_layers,id_layers_quantity_multipliers
BTAP-Corner-1,BTAP-ExteriorWall-Mass-10 bad,corner,"Exterior or Split Insulated Steel Framed Wall, or Exterior Insulated Concrete Wall, Corner Detail","BETB 5.6.3, continuous exterior horizontal metal girts",$/ft,0.15,0,3.3
BTAP-Corner-1,BTAP-ExteriorWall-Mass-10 good,corner,"Exterior or Split Insulated Steel Framed Wall, or Exterior Insulated Concrete Wall, Corner Detail","BETB 5.6.1, thermally broken cladding attachment",$/ft,0.09,0,3.3
BTAP-Corner-1,BTAP-ExteriorWall-Mass-10B bad,corner,"Exterior or Split Insulated Steel Framed Wall, or Exterior Insulated Concrete Wall, Corner Detail","BETB 5.6.3, continuous exterior horizontal metal girts",$/ft,0.15,0,3.3
BTAP-Corner-1,BTAP-ExteriorWall-Mass-10B good,corner,"Exterior or Split Insulated Steel Framed Wall, or Exterior Insulated Concrete Wall, Corner Detail","BETB 5.6.1, thermally broken cladding attachment",$/ft,0.09,0,3.3
BTAP-Corner-1,BTAP-ExteriorWall-Mass-10C bad,corner,"Exterior or Split Insulated Steel Framed Wall, or Exterior Insulated Concrete Wall, Corner Detail","BETB 5.6.3, continuous exterior horizontal metal girts",$/ft,0.15,0,3.3
BTAP-Corner-1,BTAP-ExteriorWall-Mass-10C good,corner,"Exterior or Split Insulated Steel Framed Wall, or Exterior Insulated Concrete Wall, Corner Detail","BETB 5.6.1, thermally broken cladding attachment",$/ft,0.09,0,3.3
BTAP-Corner-1,BTAP-ExteriorWall-Mass-2B bad,corner,"Exterior or Split Insulated Steel Framed Wall, or Exterior Insulated Concrete Wall, Corner Detail","BETB 5.6.3, continuous exterior horizontal metal girts",$/ft,0.15,0,3.3
BTAP-Corner-1,BTAP-ExteriorWall-Mass-2B good,corner,"Exterior or Split Insulated Steel Framed Wall, or Exterior Insulated Concrete Wall, Corner Detail","BETB 5.6.1, thermally broken cladding attachment",$/ft,0.09,0,3.3
BTAP-Corner-1,BTAP-ExteriorWall-SteelFramed-1 bad,corner,"Exterior or Split Insulated Steel Framed Wall, or Exterior Insulated Concrete Wall, Corner Detail","BETB 5.6.3, continuous exterior horizontal metal girts",$/ft,0.15,0,3.3
BTAP-Corner-1,BTAP-ExteriorWall-SteelFramed-1 good,corner,"Exterior or Split Insulated Steel Framed Wall, or Exterior Insulated Concrete Wall, Corner Detail","BETB 5.6.1, thermally broken cladding attachment",$/ft,0.09,0,3.3
